类别,样本数(原始),Ratio of Samples,,类别,样本数(增强后),Ratio of Samples
banded,120,2.13%,,banded,960,2.13%
blotchy,120,2.13%,,blotchy,960,2.13%
braided,120,2.13%,,braided,960,2.13%
bubbly,120,2.13%,,bubbly,960,2.13%
bumpy,120,2.13%,,bumpy,960,2.13%
chequered,120,2.13%,,chequered,960,2.13%
cobwebbed,120,2.13%,,cobwebbed,960,2.13%
cracked,120,2.13%,,cracked,960,2.13%
crosshatched,120,2.13%,,crosshatched,960,2.13%
crystalline,120,2.13%,,crystalline,960,2.13%
dotted,120,2.13%,,dotted,960,2.13%
fibrous,120,2.13%,,fibrous,960,2.13%
flecked,120,2.13%,,flecked,960,2.13%
freckled,120,2.13%,,freckled,960,2.13%
frilly,120,2.13%,,frilly,960,2.13%
gauzy,120,2.13%,,gauzy,960,2.13%
grid,120,2.13%,,grid,960,2.13%
grooved,120,2.13%,,grooved,960,2.13%
honeycombed,120,2.13%,,honeycombed,960,2.13%
interlaced,120,2.13%,,interlaced,960,2.13%
knitted,120,2.13%,,knitted,960,2.13%
lacelike,120,2.13%,,lacelike,960,2.13%
lined,120,2.13%,,lined,960,2.13%
marbled,120,2.13%,,marbled,960,2.13%
matted,120,2.13%,,matted,960,2.13%
meshed,120,2.13%,,meshed,960,2.13%
paisley,120,2.13%,,paisley,960,2.13%
perforated,120,2.13%,,perforated,960,2.13%
pitted,120,2.13%,,pitted,960,2.13%
pleated,120,2.13%,,pleated,960,2.13%
polka-dotted,120,2.13%,,polka-dotted,960,2.13%
porous,120,2.13%,,porous,960,2.13%
potholed,120,2.13%,,potholed,960,2.13%
scaly,120,2.13%,,scaly,960,2.13%
smeared,120,2.13%,,smeared,960,2.13%
spiralled,120,2.13%,,spiralled,960,2.13%
sprinkled,120,2.13%,,sprinkled,960,2.13%
stained,120,2.13%,,stained,960,2.13%
stratified,120,2.13%,,stratified,960,2.13%
striped,120,2.13%,,striped,960,2.13%
studded,120,2.13%,,studded,960,2.13%
swirly,120,2.13%,,swirly,960,2.13%
veined,120,2.13%,,veined,960,2.13%
waffled,120,2.13%,,waffled,960,2.13%
woven,120,2.13%,,woven,960,2.13%
wrinkled,120,2.13%,,wrinkled,960,2.13%
zigzagged,120,2.13%,,zigzagged,960,2.13%
