Class,Number of Samples,Ratio of Samples
banded,970,0.02189665680940879
blotchy,970,0.02189665680940879
braided,970,0.02189665680940879
bubbly,970,0.02189665680940879
bumpy,970,0.02189665680940879
chequered,970,0.02189665680940879
cobwebbed,970,0.02189665680940879
cracked,970,0.02189665680940879
crosshatched,886,0.020000451477459987
crystalline,903,0.020384207318449626
dotted,970,0.02189665680940879
fibrous,970,0.02189665680940879
flecked,858,0.019368383033477054
freckled,970,0.02189665680940879
frilly,882,0.019910155985462426
gauzy,818,0.018465428113501433
grid,909,0.02051965055644597
grooved,970,0.02189665680940879
honeycombed,970,0.02189665680940879
interlaced,970,0.02189665680940879
knitted,970,0.02189665680940879
lacelike,970,0.02189665680940879
lined,970,0.02189665680940879
marbled,831,0.01875888846249351
matted,970,0.02189665680940879
meshed,970,0.02189665680940879
paisley,970,0.02189665680940879
perforated,970,0.02189665680940879
pitted,970,0.02189665680940879
pleated,833,0.018804036208492293
polka-dotted,732,0.01652407503555385
porous,970,0.02189665680940879
potholed,970,0.02189665680940879
scaly,970,0.02189665680940879
smeared,970,0.02189665680940879
spiralled,970,0.02189665680940879
sprinkled,970,0.02189665680940879
stained,970,0.02189665680940879
stratified,970,0.02189665680940879
striped,970,0.02189665680940879
studded,761,0.017178717352536173
swirly,970,0.02189665680940879
veined,970,0.02189665680940879
waffled,970,0.02189665680940879
woven,970,0.02189665680940879
wrinkled,966,0.02180636131741123
zigzagged,970,0.02189665680940879
